game_id,team1,team2,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,MappedHomeTeam,MappedAwayTeam,season,datetime,league,game_day,HomeTeam,AwayTeam,FTHG,FTAG,IWH,IWD,IWA,goal_diff,odds_diff,result
2020-05-30WolfsburgEin Frankfurt,VfL Wolfsburg,Eintracht Frankfurt,76.18,70.55,0.5003,0.2491,0.2505,1.71,1.14,Wolfsburg,Ein Frankfurt,2019/2020,2020-05-30,D1,29.0,Wolfsburg,Ein Frankfurt,1.0,2.0,2.0,3.6,3.6,-1.0,-1.6,1-2
2020-05-30Schalke 04Werder Bremen,Schalke 04,Werder Bremen,64.26,60.66,0.4148,0.2987,0.2865,1.32,1.08,Schalke 04,Werder Bremen,2019/2020,2020-05-30,D1,29.0,Schalke 04,Werder Bremen,0.0,1.0,2.6,3.4,2.65,-1.0,-0.049999999999999815,0-1
2020-05-30HerthaAugsburg,Hertha Berlin,FC Augsburg,67.82,63.05,0.496,0.2507,0.2533,1.68,1.12,Hertha,Augsburg,2019/2020,2020-05-30,D1,29.0,Hertha,Augsburg,2.0,0.0,2.0,3.5,3.7,2.0,-1.7000000000000002,2-0
2020-05-30Bayern MunichFortuna Dusseldorf,Bayern Munich,Fortuna Düsseldorf,94.34,58.11,0.9059999999999999,0.0232,0.0707,3.48,0.48,Bayern Munich,Fortuna Dusseldorf,2019/2020,2020-05-30,D1,29.0,Bayern Munich,Fortuna Dusseldorf,5.0,0.0,1.1,9.5,27.0,5.0,-25.9,5-0
2020-05-31M'gladbachUnion Berlin,Borussia Monchengladbach,1. FC Union Berlin,75.95,62.34,0.6879,0.1132,0.1988,2.11,0.72,M'gladbach,Union Berlin,2019/2020,2020-05-31,D1,29.0,M'gladbach,Union Berlin,4.0,1.0,1.53,4.35,6.0,3.0,-4.47,4-1
2020-05-31PaderbornDortmund,SC Paderborn,Borussia Dortmund,56.31,86.18,0.142,0.6479,0.2101,0.85,2.07,Paderborn,Dortmund,2019/2020,2020-05-31,D1,29.0,Paderborn,Dortmund,1.0,6.0,7.7,5.5,1.35,-5.0,6.35,1-6
2020-06-01FC KolnRB Leipzig,FC Cologne,RB Leipzig,71.12,87.91,0.2136,0.5569,0.2295,1.13,1.95,FC Koln,RB Leipzig,2019/2020,2020-06-01,D1,29.0,FC Koln,RB Leipzig,2.0,4.0,5.0,4.4,1.6,-2.0,3.4,2-4
2020-06-03Werder BremenEin Frankfurt,Werder Bremen,Eintracht Frankfurt,61.41,70.96,0.39,0.349,0.261,1.48,1.39,Werder Bremen,Ein Frankfurt,2019/2020,2020-06-03,D1,29.0,Werder Bremen,Ein Frankfurt,0.0,3.0,2.75,3.45,2.5,-3.0,0.25,0-3
2020-06-05FreiburgM'gladbach,SC Freiburg,Borussia Monchengladbach,61.21,76.13,0.2154,0.5524,0.2322,1.12,1.92,Freiburg,M'gladbach,2019/2020,2020-06-05,D1,30.0,Freiburg,M'gladbach,1.0,0.0,4.3,4.0,1.75,1.0,2.55,1-0
2020-06-06Fortuna DusseldorfHoffenheim,Fortuna Düsseldorf,TSG Hoffenheim,57.83,67.23,0.3976,0.3498,0.2526,1.57,1.46,Fortuna Dusseldorf,Hoffenheim,2019/2020,2020-06-06,D1,30.0,Fortuna Dusseldorf,Hoffenheim,2.0,2.0,2.75,3.55,2.45,0.0,0.2999999999999998,2-2
